type	var	value	cell	Mean	center
high	EGAN00001265741_EGAX00001272623_EGAR00001300050_NBC_H3K36me3_SINGLE.bam	1.58018665059371e-07	NBC	1.91504186821915e-06	Blueprint
high	EGAN00001265742_EGAX00001272638_EGAR00001300127_NBC_H3K36me3_SINGLE.bam	7.30587286435397e-07	NBC	1.84312248523238e-06	Blueprint
high	EGAN00001265743_EGAX00001272667_merged3runs_NBC_H3K36me3_SINGLE.bam	1.87743376432454e-07	NBC	2.21324296730635e-06	Blueprint
high	EGAN00001265744_EGAX00001272688_EGAR00001300081_NBC_H3K36me3_SINGLE.bam	2.61998619791271e-07	NBC	1.79200528175157e-06	Blueprint
high	EGAN00001265747_EGAX00001272657_EGAR00001300004_NBC_H3K36me3_SINGLE.bam	5.15153608288272e-07	NBC	2.27346411309389e-06	Blueprint
high	EGAN00001265748_EGAX00001272663_EGAR00001300010_PBC_H3K36me3_SINGLE.bam	5.47917126208125e-07	PBC	2.6714493070312e-06	Blueprint
high	EGAN00001265749_EGAX00001272652_EGAR00001299999_GCBC_H3K36me3_SINGLE.bam	3.32636919561049e-07	GCBC	2.47167469764278e-06	Blueprint
high	EGAN00001265750_EGAX00001272583_EGAR00001300071_CLL_H3K36me3_SINGLE.bam	3.34009967942976e-07	CLL	1.69972089127465e-06	Blueprint
high	EGAN00001276797_EGAX00001304986_EGAR00001334469_GCBC_H3K36me3_SINGLE.bam	1.7079588977414e-07	GCBC	2.46303372478562e-06	Blueprint
high	EGAN00001276798_EGAX00001304994_EGAR00001334419_NBC_H3K36me3_SINGLE.bam	2.2911037472491e-07	NBC	2.17620075773744e-06	Blueprint
high	EGAN00001277490_EGAX00001326453_EGAR00001355726_csMBC_H3K36me3_SINGLE.bam	4.47812157726905e-07	MBC	2.14780644099014e-06	Blueprint
high	EGAN00001277491_EGAX00001305063_EGAR00001334390_csMBC_H3K36me3_SINGLE.bam	7.44475228648333e-07	MBC	2.3112951139333e-06	Blueprint
high	EGAN00001277492_EGAX00001305082_EGAR00001334361_NBC_H3K36me3_SINGLE.bam	3.60263446247703e-07	NBC	2.0040880460353e-06	Blueprint
high	EGAN00001295795_EGAX00001326624_EGAR00001355770_PBC_H3K36me3_SINGLE.bam	3.43592450334713e-07	PBC	2.17305621946176e-06	Blueprint
high	EGAN00001295796_EGAX00001326575_EGAR00001355825_CLL_H3K36me3_SINGLE.bam	6.23996068325573e-07	CLL	2.35036845986084e-06	Blueprint
high	EGAN00001295801_EGAX00001326601_EGAR00001355747_NBC_H3K36me3_SINGLE.bam	4.35744087497413e-07	NBC	2.29915098064087e-06	Blueprint
high	EGAN00001295815_EGAX00001326483_EGAR00001355810_usMBC_H3K36me3_SINGLE.bam	4.68111262182752e-07	MBC	2.27633115189686e-06	Blueprint
low	A34023.CEMT_4.H3K36me3.hg38.bwa.sb.IX2824.C3YJAACXX_6_ACTCTC.bam	1.58537849801875e-06	CLL	2.64098630956609e-07	CEMT
low	A34039.CEMT_5.H3K36me3.hg38.bwa.sb.IX2845.C4C9JACXX_3_AGCGCT.bam	1.36906497025043e-06	CLL	3.26875008551929e-07	CEMT
low	A34078.CEMT_6.H3K36me3.hg38.bwa.sb.IX2845.C4C9JACXX_3_AGTTCC.bam	1.45952737474398e-06	CLL	6.66890416076237e-07	CEMT
low	A34942.CEMT_26.H3K36me3.hg38.bwa.sb.IX2652.C3TC1ACXX_2_ACTCTC.bam	1.06296852306114e-06	CLL	3.70988850071046e-07	CEMT
low	A34949.CEMT_27.H3K36me3.hg38.bwa.sb.IX2824.C3YJAACXX_6_AGCGCT.bam	1.05679178428416e-06	CLL	4.826302965062e-07	CEMT
