A.geneID	CLL_1	GCBC_129	GCBC_134	GCBC_135	GCBC_136	GCBC_137	GCBC_138	CLL_25	CLL_26	CLL_27	CLL_28	CLL_29	CLL_30	CLL_4	CLL_5	CLL_6	CLL_92	CLL_93	CLL_94	CLL_95	CLL_96	CLL_97
ENSG00000038210	8.6749	11.2215	12.2633	11.818	14.8931	12.8222	12.205	12.5237	11.185	15.5867	9.8315	12.9119	15.4248	8.39287	7.91832	6.53053	11.4642	8.82461	13.7149	9.75427	7.19813	7.122
ENSG00000038219	25.8944	27.5821	27.1064	24.1135	26.8425	25.4287	27.2336	26.4244	33.3076	27.6125	25.3185	23.5789	21.2842	24.0115	25.2372	28.6844	10.3242	11.6669	20.3954	24.87	14.3236	28.1625
ENSG00000038274	46.4757	14.399	13.7973	13.7238	13.2381	14.0007	14.0803	30.5479	28.1508	35.3774	27.848	24.8612	43.7279	30.3279	32.0253	28.4658	65.668	43.1515	54.1497	19.2677	12.9912	18.6245
ENSG00000038295	0	0.0719091	0.0615188	0.013577	0.0561221	0.0521131	0.0664342	0	0	0.00227149	0	0	0	0	0.00161981	0	0	0	0	0	0	0
ENSG00000038358	35.1536	52.6566	48.2986	50.1847	45.2965	48.0894	45.717	18.4501	24.5981	27.2367	25.7797	20.9827	19.1178	30.8603	30.3499	31.6	18.9181	29.9033	19.1226	39.9636	25.7443	46.3733
ENSG00000038382	10.4107	12.1759	11.2698	12.6135	12.5152	11.0631	9.86101	2.90528	3.19487	2.97961	1.79096	4.80355	4.93439	4.53993	6.55802	41.1455	8.04691	7.12058	3.88429	0.52515	0.0264674	0.472235
ENSG00000038427	0	0.0388929	0.0691131	0.0628173	0.0994865	0.0516176	0.0275455	0	0.019712	1.24846	0.00431536	0.442792	2.38529	0.000768193	1.95468	0.00074119	0.180661	0.0128752	0	0.00219744	0.00674364	0.00212584
ENSG00000038532	11.2792	12.6633	11.7645	10.522	10.8375	10.144	10.607	10.9794	9.38332	6.01875	10.0523	9.20927	8.08571	8.31864	7.61736	14.019	5.32836	8.3293	5.62333	9.38408	6.27535	8.7479
ENSG00000038945	0	0.0350236	0.0115553	0.00199363	0	0.00509008	0.0197999	0	0	0.0127439	0	0	0.0356355	0	0.0348193	0	0.0128338	0	0	0	0	0
ENSG00000039068	0	0.144385	0.241143	0.181012	0.137091	0.195427	0.205997	0.0181464	0.00295434	0.0448291	0.121806	0.223823	0.031274	0	0.0384255	0.0035592	0	0	0	0.00263803	0.00539717	0.0657586
ENSG00000039123	12.538	20.6457	17.954	15.4604	19.9211	18.3499	15.9457	17.3813	16.3665	12.728	11.9269	15.7981	14.1942	11.9996	14.1142	10.8592	13.1241	9.98729	12.7633	15.881	13.0004	9.37898
ENSG00000039139	0	0.000797657	0.00567373	0.00154971	0.0122595	0.00488695	0.00159042	0	0	0.000518547	0.00600257	0	0	0	0	0.000667229	0	0.0014488	0	0	0	0
ENSG00000039319	3.41224	1.9182	2.06695	1.96182	2.40763	2.39335	2.60425	3.44923	4.00737	3.73485	4.06145	2.76622	3.59944	2.15457	2.80741	4.69779	3.83305	3.15819	3.63022	4.04588	1.93628	2.36796
ENSG00000039523	66.1837	1.54636	2.04138	1.51279	1.62068	2.13057	2.21506	81.5739	62.5719	68.7054	73.3566	60.341	55.4001	92.4302	134.545	110.627	61.6215	63.9918	63.4008	96.5067	68.2753	93.3313
ENSG00000039537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000039560	0	0.0324817	0.0524622	0.0292614	0.038017	0.0332041	0.0824057	0.00551644	0.00473219	0.00666819	0.0125746	0	0.0275711	0	0.00154387	0.00143002	0	0	0	0.00423965	0	0.00410152
ENSG00000039600	0.168742	0.211161	0.274098	0.157117	0.258628	0.15223	0.271272	0.186837	0.141884	0.250377	0.268313	0.535349	0.122739	0.0415328	0.0587403	0.291257	0.523	0.232891	0.306765	0.196518	0.0432217	0.0942551
ENSG00000039650	16.2919	24.831	30.0181	33.3908	38.9368	31.8393	38.6137	15.6253	14.6152	17.0361	19.4976	9.11796	12.8469	15.5015	16.2361	19.7713	20.1974	21.8987	13.538	17.7602	15.7254	33.9558
ENSG00000039987	0	0.00652269	0.00168223	0.015535	0.0043869	0.0213572	0.0157234	0	0.00689682	0.0129147	0.00574989	0	0	0.00430577	0	0	0	0	0	0.0061584	0.0125995	0.00595774
ENSG00000040199	7.86094	3.30801	4.51538	3.34362	3.90555	3.47411	2.80113	11.805	8.82412	6.19211	9.54313	13.3623	7.99177	6.10246	4.69143	8.01499	4.47373	5.52623	4.98252	7.4295	12.0746	5.34773
ENSG00000040275	2.56487	12.8586	12.6291	12.6177	14.8385	14.0103	14.4111	1.59387	2.07861	3.14081	3.18686	1.56537	2.36992	2.14582	1.64901	3.45596	3.41017	2.41305	2.22481	1.41677	0.825281	2.3965
ENSG00000040341	3.95276	5.48393	5.27838	5.10739	5.57667	5.16201	5.22369	7.18963	7.32017	5.4481	5.14284	4.25933	6.27732	4.44855	5.42648	3.9259	4.38168	3.62995	8.43825	7.08527	5.50249	4.8101
ENSG00000040487	6.21122	9.84777	10.3077	11.6075	9.888	9.96297	11.4894	3.85059	3.97904	7.03604	4.86911	6.57193	4.67134	5.47763	6.21039	6.69989	7.09618	6.75826	4.44565	7.47339	3.69667	9.65462
ENSG00000040531	6.80149	6.22271	6.71161	10.8345	6.87304	6.29691	7.7426	3.50944	4.30543	6.16091	4.56307	6.17725	4.47702	3.42867	3.04791	5.44984	6.47889	6.8394	4.35736	5.89578	3.29832	17.0179
ENSG00000040608	0.00887619	0.731101	0.561283	0.197584	0.141365	0.132956	0.131379	0.0126999	0.0353794	0.0843816	0.00455652	0.0325301	0.0512937	0.0762267	0.0639769	0	0	0.0500398	0.00922721	0.0341617	0.0299536	0.0762951
